id	name	source	fleet_status	snapshot_class	decision_rule	confidence	storage_bound	blockers	promotion_gates	fallback_path	fallback_admission	canary_ids
documented:llama-2-7b-chat-hf@unversioned	Llama 2 7B Chat	documented-candidates	excluded-hypothetical	unresolved	R03-hypothetical	high	false	access-gate:hf-license-acceptance-required;referenced-only	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	excluded	
documented:llama-2-7b-hf@unversioned	Llama 2 7B (base)	documented-candidates	excluded-hypothetical	unresolved	R03-hypothetical	high	false	access-gate:hf-license-acceptance-required;referenced-only	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	excluded	
faststart:boltz2@sha256:0788c95c8b5b6c1a73a62c656b298ecc353a8187dc22b794f496ae40672c4c98	Boltz2 NIM	faststart-v2-lanes	active	direct-snapshot-safe	R01-lane-evidence	high	true		G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK;G-STORAGE	conventional-pull-and-load	measurement-required	canary-direct-storage-heavy
faststart:diffdock@sha256:300696eb8331d78face40f84d835cc1e278c7d3c391c5aabbbee5884366da480	DiffDock NIM	faststart-v2-lanes	active	direct-snapshot-safe	R01-lane-evidence	high	false		G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
faststart:evo2-40b@sha256:561886bab1d2d0da836ebf5bec403f9de2baf6e92deb7eedf1b316aa994b5dd2	Evo2-40B NIM	faststart-v2-lanes	active	unresolved	R01-lane-evidence	high	true	access-gate:hardware-h200-release-required;hardware-gate-h200;production-capture-missing;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK;G-STORAGE	conventional-pull-and-load	measurement-required	
faststart:genmol@sha256:139b909a450fe1fb81198214784a15f67e172e766a93a1569827ba5aa05b4541	GenMol NIM	faststart-v2-lanes	active	direct-snapshot-safe	R01-lane-evidence	high	false		G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
faststart:molmim@sha256:7700c5556935a93055bee5367d36acb6d3e55d22fd1ba28503f5447656fa63fa	MolMIM NIM	faststart-v2-lanes	active	unresolved	R01-lane-evidence	medium	false	unsealed-evidence-receipts	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
faststart:msa-search@sha256:944f3cf845761be8e42b33147ae08b68c61eca7cad67bf5251e1708d03c0165c	MSA Search (ColabFold) NIM	faststart-v2-lanes	active	conventional-only	R01-lane-evidence	high	false		G-DIGEST;G-SEMEQ;G-ROLLBACK	conventional-cached-start	measured	
faststart:openfold2@sha256:fc64916731fee39e124225829dca78e80ec24fe1891be47057d0d69209b93ab4	OpenFold2 NIM	faststart-v2-lanes	active	direct-snapshot-safe	R01-lane-evidence	high	true		G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK;G-STORAGE	conventional-pull-and-load	measurement-required	
faststart:openfold3@sha256:6286cc7c02247ed3efe42f0f1af6c2f6f6a680b1e5cae669512c44b636aa42d2	OpenFold3 NIM	faststart-v2-lanes	active	direct-snapshot-safe	R01-lane-evidence	high	false		G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
faststart:proteinmpnn@sha256:b55a0aa6733e267e6e6fe06434e98aea61eff14bc5545127555607fef6f38aa5	ProteinMPNN NIM	faststart-v2-lanes	active	direct-snapshot-safe	R01-lane-evidence	high	false		G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	canary-direct-min-bytes
faststart:rfdiffusion@sha256:15e40e466d8ebe9a53f1feea599373720428c9de65da750bf4271c96ec35ceb4	RFdiffusion NIM	faststart-v2-lanes	active	direct-snapshot-safe	R01-lane-evidence	high	false		G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:aaditya-llama3-openbiollm-8b-vllm@hf-70d6bb5-vllm-0-21-0	Llama3 OpenBioLLM 8B	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	canary-vllm-state-audit
forge:abhinand-medembed-base-v0-1-vllm-cuda13@hf-7a90c50-vllm-0-22-0-cuda13-pooling	MedEmbed Base	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
