id	canonical_key	name	source	availability_class	evidence_tier	gates	workload_class	runtime_family	api_style	endpoint_path	min_gpus	min_vram_gb	gpu_sku_compat_true	image_upstream_ref	image_digest	image_size_bytes	artifact_size_bytes	cache_bytes	snapshot_eligibility	startup_path	t0_to_call2_p50_s	license	fixtures_status	local_bytes_known
documented:llama-2-7b-chat-hf@unversioned	hf:meta-llama/Llama-2-7b-chat-hf	Llama 2 7B Chat	documented-candidates	hypothetical	referenced-only	hf-license-acceptance-required	chat-llm	vllm	openai-compatible	/v1/completions	1								candidate-unproven	conventional-pull-and-load		llama2	missing	0
documented:llama-2-7b-hf@unversioned	hf:meta-llama/Llama-2-7b-hf	Llama 2 7B (base)	documented-candidates	hypothetical	referenced-only	hf-license-acceptance-required	chat-llm	vllm	openai-compatible	/v1/completions	1								candidate-unproven	conventional-pull-and-load		llama2	missing	0
faststart:boltz2@sha256:0788c95c8b5b6c1a73a62c656b298ecc353a8187dc22b794f496ae40672c4c98	nvcr.io/nim/mit/boltz2	Boltz2 NIM	faststart-v2-lanes	verified	measured-local		protein-structure-prediction	nim	nim-native-http	/biology/mit/boltz2/predict	1			nvcr.io/nim/mit/boltz2	sha256:0788c95c8b5b6c1a73a62c656b298ecc353a8187dc22b794f496ae40672c4c98		16241056616	13341111872	proven	native-snapshot-restore	28.794544		linked-strict-validator	29582168488
faststart:diffdock@sha256:300696eb8331d78face40f84d835cc1e278c7d3c391c5aabbbee5884366da480	nvcr.io/nim/mit/diffdock	DiffDock NIM	faststart-v2-lanes	verified	measured-local		molecular-docking	nim	nim-native-http	/molecular-docking/diffdock/generate	1			nvcr.io/nim/mit/diffdock	sha256:300696eb8331d78face40f84d835cc1e278c7d3c391c5aabbbee5884366da480		7516058314		proven	native-snapshot-restore	14.190621		linked-strict-validator	7516058314
faststart:evo2-40b@sha256:561886bab1d2d0da836ebf5bec403f9de2baf6e92deb7eedf1b316aa994b5dd2	nvcr.io/nim/arc/evo2-40b	Evo2-40B NIM	faststart-v2-lanes	gated	measured-local	hardware-h200-release-required	genomic-sequence-generation	nim	nim-native-http	/biology/arc/evo2/generate	1			nvcr.io/nim/arc/evo2-40b	sha256:561886bab1d2d0da836ebf5bec403f9de2baf6e92deb7eedf1b316aa994b5dd2		99959572798		blocked-pending-capture	native-snapshot-restore			linked-strict-validator	99959572798
faststart:genmol@sha256:139b909a450fe1fb81198214784a15f67e172e766a93a1569827ba5aa05b4541	nvcr.io/nim/nvidia/genmol	GenMol NIM	faststart-v2-lanes	verified	measured-local		molecule-generation	nim	nim-native-http	/generate	1			nvcr.io/nim/nvidia/genmol	sha256:139b909a450fe1fb81198214784a15f67e172e766a93a1569827ba5aa05b4541		4781347930		proven	native-snapshot-restore	12.177434		linked-strict-validator	4781347930
faststart:molmim@sha256:7700c5556935a93055bee5367d36acb6d3e55d22fd1ba28503f5447656fa63fa	nvcr.io/nim/nvidia/molmim	MolMIM NIM	faststart-v2-lanes	verified	measured-local		molecule-generation	nim	nim-native-http	/generate	1			nvcr.io/nim/nvidia/molmim	sha256:7700c5556935a93055bee5367d36acb6d3e55d22fd1ba28503f5447656fa63fa		5220755473	284497920	proven	native-snapshot-restore	15.43163		linked-strict-validator	5505253393
faststart:msa-search@sha256:944f3cf845761be8e42b33147ae08b68c61eca7cad67bf5251e1708d03c0165c	nvcr.io/nim/colabfold/msa-search	MSA Search (ColabFold) NIM	faststart-v2-lanes	verified	measured-local		msa-retrieval	nim	nim-native-http	/biology/colabfold/msa-search/predict	1			nvcr.io/nim/colabfold/msa-search	sha256:944f3cf845761be8e42b33147ae08b68c61eca7cad67bf5251e1708d03c0165c			112682799	excluded	conventional-cached-start	4.942788		linked-strict-validator	112682799
faststart:openfold2@sha256:fc64916731fee39e124225829dca78e80ec24fe1891be47057d0d69209b93ab4	nvcr.io/nim/openfold/openfold2	OpenFold2 NIM	faststart-v2-lanes	verified	measured-local		protein-structure-prediction	nim	nim-native-http	/biology/openfold/openfold2/predict-structure-from-msa-and-template	1			nvcr.io/nim/openfold/openfold2	sha256:fc64916731fee39e124225829dca78e80ec24fe1891be47057d0d69209b93ab4				proven	native-snapshot-restore	17.202273		linked-strict-validator	0
faststart:openfold3@sha256:6286cc7c02247ed3efe42f0f1af6c2f6f6a680b1e5cae669512c44b636aa42d2	nvcr.io/nim/openfold/openfold3	OpenFold3 NIM	faststart-v2-lanes	verified	measured-local		protein-structure-prediction	nim	nim-native-http	/biology/openfold/openfold3/predict	1			nvcr.io/nim/openfold/openfold3	sha256:6286cc7c02247ed3efe42f0f1af6c2f6f6a680b1e5cae669512c44b636aa42d2		9263246107		proven	native-snapshot-restore	30.564921		linked-strict-validator	9263246107
faststart:proteinmpnn@sha256:b55a0aa6733e267e6e6fe06434e98aea61eff14bc5545127555607fef6f38aa5	nvcr.io/nim/ipd/proteinmpnn	ProteinMPNN NIM	faststart-v2-lanes	verified	measured-local		protein-sequence-design	nim	nim-native-http	/biology/ipd/proteinmpnn/predict	1			nvcr.io/nim/ipd/proteinmpnn	sha256:b55a0aa6733e267e6e6fe06434e98aea61eff14bc5545127555607fef6f38aa5		1867046505		proven	native-snapshot-restore	10.249097		linked-strict-validator	1867046505
